"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"100075",1120,305,2447,1120,3567,"intrinsic neuron","4B? in T2 RHS","None",NA,22014,"IN04B100_T2_R",NA,0.532674074172974,0.0800836831331253,0.379484891891479,0.00775738619267941,"LegNpT2_R","25971,40027,29074","user",0.532674074172974,"IR","",NA,"Roughly traced","IR",NA,"IN04B100","LegNpT2_R",NA,"IN04B100","VFB_jrcv257v","25941,40027,29137","secondary","04B",19994,"independent leg","T2","RHS",19994,NA,NA,NA,NA,NA,"",NA,"29290,41788,28968","Traced",305,"acetylcholine",8209,"acetylcholine",366855225,TRUE
"101030",910,556,3354,910,4264,"intrinsic neuron","20A in T2 LHS","None",NA,15445,"IN04B016_T2_L",NA,0.898599863052368,0.019823893904686,0.0747990012168884,0.00677724275738001,"multi","19766,29668,28297","user",0.898599863052368,"BI","",NA,"Roughly traced","BI",NA,"IN04B016","LegNpT2_L.LegNpT2_R",NA,"IN04B016","VFB_jrcv25ye","19878,29705,28297","secondary","04B",NA,NA,"T2","LHS",14755,NA,NA,NA,NA,NA,"",NA,"18446,32518,24738","Traced",556,"acetylcholine",2227,"acetylcholine",1120735187,TRUE
"101031",1287,558,3122,1287,4409,"intrinsic neuron",NA,NA,NA,15036,"IN04B036_T2_L",NA,0.683756113052368,0.0963746309280396,0.205257907509804,0.014611336402595,"LegNpT2_L","17570,39237,37969","soma",0.683756113052368,"BR","",NA,"Roughly traced","BR",NA,"IN04B036","LegNpT2_L",NA,"IN04B036","VFB_jrcv25yf","","early secondary","04B",NA,NA,"T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"17570,39237,37969","Traced",558,"acetylcholine",5513,"acetylcholine",814437107,TRUE
"101038",2529,453,3296,2529,5825,"intrinsic neuron","20A in T2 RHS","None",NA,17680,"IN04B061_T2_R",NA,0.959169626235962,0.0160837005823851,0.0211767982691526,0.00356988050043583,"LegNpT2_R","25660,32508,27412","user",0.959169626235962,"IR","",NA,"Roughly traced","IR",NA,"IN04B061","LegNpT2_R",NA,"IN04B061","VFB_jrcv25ym","25504,32392,27412","secondary","04B",NA,NA,"T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"29163,39486,24649","Traced",453,"acetylcholine",915,"acetylcholine",688965790,TRUE
"10179",15576,2352,19495,15576,35071,"ascending neuron","4B? in T2 RHS","None","CvC",10179,"AN04B001_T2_R","DLV",0.88616007566452,0.0338091738522053,0.0756102353334427,0.00442050816491246,"LegNpT2_R","25610,37799,67070","user",0.88616007566452,"IA","","RHS","Roughly traced","IA",NA,"AN04B001","LegNpT1_R.LegNpT3_R",NA,"AN04B001","VFB_jrcv07ur","","early secondary","04B",10179,"complex","T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"26539,40198,37151","Traced",2352,"acetylcholine",8092,"acetylcholine",5912846764,TRUE
"101891",1915,598,3486,1915,5401,"intrinsic neuron",NA,NA,NA,15036,"IN04B036_T2_R",NA,0.790399491786957,0.0535251721739769,0.147695526480675,0.00837979931384325,"LegNpT2_R","28545,42303,32634","soma",0.790399491786957,"BR","",NA,"Roughly traced","BR",NA,"IN04B036","LegNpT2_R",NA,"IN04B036","VFB_jrcv26mb","","early secondary","04B",NA,NA,"T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"28545,42303,32634","Traced",598,"acetylcholine",5513,"acetylcholine",963114452,TRUE
"10211",12178,2270,19890,12178,32068,"ascending neuron","4B? in T2 LHS","None","CvC",10179,"AN04B001_T2_L","DLV",0.911432445049286,0.0232577323913574,0.0627714991569519,0.00253830710425973,"LegNpT2_L","21105,37085,67070","user",0.911432445049286,"IA","","LHS","Roughly traced","IA",NA,"AN04B001","LegNpT1_L.LegNpT3_L",NA,"AN04B001","VFB_jrcv07vn","","early secondary","04B",10179,"complex","T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"15488,38172,36131","Traced",2270,"acetylcholine",8092,"acetylcholine",5873216874,TRUE
"10394",4185,905,6561,4185,10746,"ascending neuron","pred ChAT; 6B? or 4B? in T2 RHS; ECM","None","CvC",10394,"AN04B003_T2_R","MDA",0.959372878074646,0.0103923920542002,0.025764986872673,0.0044697392731905,"LegNpT2_R","23970,36392,67070","user",0.959372878074646,"IA","","RHS","Roughly traced","IA",NA,"AN04B003","LegNpT2_R.LegNpT1_R",NA,"AN04B003","VFB_jrcv080q","","primary","04B",10394,"ascending","T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"24636,41055,34984","Traced",905,"acetylcholine",4145,"acetylcholine",3446933975,TRUE
"10873",3850,1011,7140,3850,10990,"intrinsic neuron","4B? in T2 RHS; 1st pass ECM","None","CvC",10873,"IN04B004_T2_R",NA,0.944753229618073,0.0138530991971493,0.0376660265028477,0.00372763583436608,"LegNpT2_R","31077,35919,39539","user",0.895457863807678,"II","",NA,"Roughly traced","II",NA,"IN04B004","LegNpT2_R.LegNpT3_R",NA,"IN04B004","VFB_jrcv08e1","31077,36448,39343","primary","04B",11350,"complex","T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"27371,42447,34385","Traced",1011,"acetylcholine",4855,"acetylcholine",2048520356,TRUE
"11208",3339,835,6060,3339,9399,"ascending neuron","pred ChAT; 6A? or 4B? in T2 LHS","None","CvC",10394,"AN04B003_T2_L","MDA",0.9332075715065,0.0288222711533308,0.0325236953794956,0.00544644054025412,"LegNpT2_L","22616,36263,67070","user",0.9332075715065,"IA","","LHS","Roughly traced","IA",NA,"AN04B003","LegNpT2_L.LegNpT1_L",NA,"AN04B003","VFB_jrcv08nc","","primary","04B",10394,"ascending","T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"15807,31174,20998","Traced",835,"acetylcholine",4145,"acetylcholine",3144276384,TRUE
"11945",3769,1223,7862,3769,11631,"intrinsic neuron","4B? in T2 RHS",NA,"None",11945,"IN04B008_T2_R",NA,0.903063356876373,0.0325138792395592,0.0574616864323616,0.00696108676493168,"LegNpT2_R","26122,41503,38057","soma",0.903063356876373,"BR","",NA,"Roughly traced","BR",NA,"IN04B008","LegNpT2_R",NA,"IN04B008","VFB_jrcv097t","","primary","04B",11945,"independent leg","T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"26122,41503,38057","Traced",1223,"acetylcholine",6074,"acetylcholine",2064983191,TRUE
"12075",3386,2168,14092,3386,17478,"intrinsic neuron",NA,NA,NA,12075,"IN04B006_T2_L",NA,0.923555076122284,0.0136347496882081,0.0562554225325584,0.00655472744256258,"multi_L","17228,38368,37264","soma",0.923173248767853,"II","",NA,"Roughly traced","II",NA,"IN04B006","multi_L",NA,"IN04B006","VFB_jrcv09bf","","primary","04B",NA,NA,"T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"17228,38368,37264","Traced",2168,"acetylcholine",6658,"acetylcholine",1989892712,TRUE
"12169",3447,2097,13652,3447,17099,"intrinsic neuron",NA,NA,NA,12075,"IN04B006_T2_L",NA,0.91961807012558,0.0161895491182804,0.0583730675280094,0.00581932440400124,"multi_L","16705,38052,37035","soma",0.91961807012558,"II","",NA,"Roughly traced","II",NA,"IN04B006","multi_L",NA,"IN04B006","VFB_jrcv09e1","","primary","04B",NA,NA,"T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"16705,38052,37035","Traced",2097,"acetylcholine",6658,"acetylcholine",1943557298,TRUE
"12284",3564,2393,14675,3564,18239,"intrinsic neuron",NA,NA,NA,12075,"IN04B006_T2_R",NA,0.929130077362061,0.0118072563782334,0.0546883009374142,0.00437438720837235,"multi_R","26053,40358,36103","soma",0.929130077362061,"II","",NA,"Roughly traced","II",NA,"IN04B006","multi_R",NA,"IN04B006","VFB_jrcv09h8","","primary","04B",NA,NA,"T2","RHS",NA,NA,NA,NA,NA,NA,"",NA,"26053,40358,36103","Traced",2393,"acetylcholine",6658,"acetylcholine",2180238623,TRUE
"12588",3150,1255,7949,3150,11099,"intrinsic neuron",NA,NA,NA,11945,"IN04B008_T2_L",NA,0.877835392951965,0.0330958962440491,0.0824125111103058,0.00665620341897011,"LegNpT2_L","17209,38794,37927","soma",0.877835392951965,"BR","",NA,"Roughly traced","BR",NA,"IN04B008","LegNpT2_L",NA,"IN04B008","VFB_jrcv09po","","primary","04B",11945,"independent leg","T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"17209,38794,37927","Traced",1255,"acetylcholine",6074,"acetylcholine",1995849563,TRUE
"13000",1847,703,4949,1847,6796,"intrinsic neuron","20A in T2 LHS","None",NA,13000,"IN04B017_T2_L",NA,0.951065361499786,0.0103822946548462,0.0361669026315212,0.00238541676662862,"LegNpT2_L","19914,29776,28297","user",0.951065361499786,"BR","",NA,"Roughly traced","BR",NA,"IN04B017","LegNpT2_L",NA,"IN04B017","VFB_jrcv0a14","19878,29705,28297","secondary","04B",NA,NA,"T2","LHS",NA,NA,NA,NA,NA,NA,"",NA,"13224,34552,25097","Traced",703,"acetylcholine",4465,"acetylcholine",1220666148,TRUE
